Number	Accession	A's	G's	C's	T's	N's	Length	GC%
299	CY021712  	497	401	312	324	0	1556	46.5
300	CY021713  	267	210	173	201	0	864	45.0
301	CY021713  	267	210	173	201	0	864	45.0
302	CY021714  	737	521	415	533	0	2238	42.4
303	CY021715  	796	511	443	533	0	2316	41.8
304	CY021715  	796	511	443	533	0	2316	41.8
305	CY021716  	788	573	414	534	0	2342	42.7
306	CY020285  	620	391	332	398	0	1766	41.5
307	CY020286  	279	262	206	241	0	1003	47.4
308	CY020286  	279	262	206	241	0	1003	47.4
309	CY020287  	423	359	250	378	0	1431	43.2
310	CY020288  	495	405	307	323	0	1552	46.5
311	CY020289  	271	204	173	201	0	862	44.4
312	CY020289  	271	204	173	201	0	862	44.4
313	CY020290  	723	523	414	528	0	2220	42.8
314	CY020291  	797	512	444	535	0	2321	41.8
315	CY020291  	797	512	444	535	0	2321	41.8
316	CY020292  	774	579	422	525	0	2333	43.5
317	EU501856  	345	199	218	225	0	1002	42.2
318	EU501595  	342	203	216	226	0	1002	42.5
319	EU501596  	342	203	218	224	0	1002	42.7
320	EU501855  	345	199	218	225	0	1002	42.2
321	EU501363  	342	205	218	222	0	1002	42.9
322	EU501364  	345	201	216	225	0	1002	42.2
323	EU501857  	344	200	218	225	0	1002	42.4
324	EU501858  	342	201	217	227	0	1002	42.4
325	EU501859  	342	202	217	226	0	1002	42.5
326	EU501860  	344	200	218	225	0	1002	42.4
327	EU501365  	341	205	217	224	0	1002	42.8
328	EU501597  	342	203	215	227	0	1002	42.4
329	EU501598  	341	203	219	224	0	1002	42.8
330	EU501599  	341	203	219	224	0	1002	42.8
331	EU501861  	342	201	219	225	0	1002	42.6
332	EU502548  	342	201	219	225	0	1002	42.6
333	EU501602  	341	204	215	227	0	1002	42.5
334	EU501603  	341	203	217	226	0	1002	42.6
335	EU501604  	343	201	218	225	0	1002	42.5
336	EU501605  	341	201	217	228	0	1002	42.4
337	EU501606  	340	205	222	220	0	1002	43.3
338	EU501600  	340	205	219	223	0	1002	43.0
339	EU501601  	341	203	217	226	0	1002	42.6
340	EU501607  	343	201	218	225	0	1002	42.5
341	EU501608  	341	203	218	225	0	1002	42.7
342	EU501366  	341	205	217	224	0	1002	42.8
343	EU501862  	341	203	221	222	0	1002	43.0
344	EU501367  	339	206	217	225	0	1002	42.9
345	EU501863  	341	202	217	227	0	1002	42.5
346	EU501864  	340	203	224	220	0	1002	43.3
347	EU501206  	337	210	216	224	0	1002	43.2
348	EU501865  	346	199	217	225	0	1002	42.1
349	EU501122  	331	216	213	227	0	1002	43.5
350	EU501866  	345	200	216	226	0	1002	42.1
351	EU501123  	335	215	213	224	0	1002	43.4
352	EU501371  	342	203	217	225	0	1002	42.6
353	EU501205  	338	209	216	224	0	1002	43.1
354	EU501867  	345	200	216	226	0	1002	42.1
355	CY063606  	618	382	318	416	0	1759	40.4
356	CY063607  	290	253	208	236	0	1002	46.7
357	CY063607  	290	253	208	236	0	1002	46.7
358	CY063608  	454	330	264	372	0	1441	41.8
359	CY063609  	504	401	300	318	0	1545	46.0
360	CY063610  	271	202	169	208	0	863	43.6
361	CY063610  	271	202	169	208	0	863	43.6
362	CY063611  	712	532	428	503	0	2207	44.1
363	CY063612  	818	523	445	517	0	2336	42.0
364	CY063613  	772	590	433	498	0	2326	44.6
365	CY073725  	617	383	318	414	2	1759	40.4
366	CY073726  	290	253	207	237	0	1002	46.6
367	CY073726  	290	253	207	237	0	1002	46.6
368	CY073727  	454	330	265	371	0	1441	41.9
369	CY073728  	504	401	301	314	3	1545	46.1
370	CY073729  	270	202	169	209	0	863	43.6
371	CY073729  	270	202	169	209	0	863	43.6
372	CY073730  	712	532	427	504	0	2207	44.1
373	CY073731  	817	524	445	517	0	2336	42.1
374	CY073732  	773	588	433	499	0	2326	44.5
375	CY062691  	615	384	319	416	0	1759	40.5
376	CY062692  	292	251	208	236	0	1002	46.5
377	CY062692  	292	251	208	236	0	1002	46.5
378	CY062693  	453	331	265	371	0	1441	42.0
379	CY062694  	504	401	303	315	0	1545	46.2
380	CY062695  	269	203	169	209	0	863	43.8
381	CY062695  	269	203	169	209	0	863	43.8
382	CY062696  	713	532	425	505	0	2207	44.0
383	CY062697  	822	519	443	519	0	2336	41.8
384	CY062698  	770	591	431	501	0	2326	44.6
385	CY062699  	617	383	319	415	0	1759	40.5
386	CY062700  	289	254	208	236	0	1002	46.8
387	CY062700  	289	254	208	236	0	1002	46.8
388	CY062701  	453	331	264	372	0	1441	41.9
389	CY062702  	501	404	301	317	0	1545	46.3
390	CY062703  	269	203	169	209	0	863	43.8
391	CY062703  	269	203	169	209	0	863	43.8
392	CY062704  	713	532	425	505	0	2207	44.0
393	CY062705  	822	520	440	521	0	2336	41.7
394	CY062706  	772	589	433	499	0	2326	44.6
395	CY066935  	618	382	319	415	0	1759	40.4
396	CY066936  	291	253	208	235	0	1002	46.7
397	CY066936  	291	253	208	235	0	1002	46.7
398	CY066937  	453	331	264	372	0	1441	41.9
399	CY066938  	504	401	301	317	0	1545	46.1
400	CY066939  	270	202	169	209	0	863	43.6
401	CY066939  	270	202	169	209	0	863	43.6
402	CY066940  	715	532	426	502	0	2207	44.0
403	CY066941  	822	519	443	519	0	2336	41.8
404	CY066942  	773	588	433	499	0	2326	44.5
405	CY066943  	618	384	319	413	0	1759	40.5
406	CY066944  	290	253	209	235	0	1002	46.8
407	CY066944  	290	253	209	235	0	1002	46.8
408	CY066945  	454	330	264	372	0	1441	41.8
409	CY066946  	503	401	301	318	0	1545	46.1
410	CY066947  	270	203	168	209	0	863	43.6
411	CY066947  	270	203	168	209	0	863	43.6
412	CY066948  	713	532	427	503	0	2207	44.1
413	CY066949  	822	519	443	519	0	2336	41.8
414	CY066950  	772	590	433	498	0	2326	44.6
415	CY066951  	616	384	320	414	0	1759	40.6
416	CY066952  	289	254	208	236	0	1002	46.8
417	CY066952  	289	254	208	236	0	1002	46.8
418	CY066953  	453	331	263	373	0	1441	41.8
419	CY066954  	504	401	300	318	0	1545	46.0
420	CY066955  	271	201	169	209	0	863	43.5
421	CY066955  	271	201	169	209	0	863	43.5
422	CY066956  	714	532	425	504	0	2207	44.0
423	CY066957  	822	519	442	517	3	2336	41.7
424	CY066958  	772	590	434	497	0	2326	44.7
425	CY066959  	618	384	318	414	0	1759	40.5
426	CY066960  	290	253	207	237	0	1002	46.6
427	CY066960  	290	253	207	237	0	1002	46.6
428	CY066961  	454	330	264	372	0	1441	41.8
429	CY066962  	504	401	300	318	0	1545	46.0
430	CY066963  	270	202	169	209	0	863	43.6
431	CY066963  	270	202	169	209	0	863	43.6
432	CY066964  	711	533	428	503	0	2207	44.2
433	CY066965  	817	524	445	517	0	2336	42.1
434	CY066966  	772	589	433	499	0	2326	44.6
435	CY066967  	619	383	319	413	0	1759	40.5
436	CY066968  	292	251	208	236	0	1002	46.5
437	CY066968  	292	251	208	236	0	1002	46.5
438	CY066969  	453	331	264	372	0	1441	41.9
439	CY066970  	504	401	303	315	0	1545	46.2
440	CY066971  	270	202	169	209	0	863	43.6
441	CY066971  	270	202	169	209	0	863	43.6
442	CY066972  	714	531	427	503	0	2207	44.0
443	CY066973  	820	521	442	520	0	2336	41.8
444	CY066974  	771	589	433	500	0	2326	44.6
445	CY066975  	617	384	318	415	0	1759	40.5
446	CY066976  	289	254	208	236	0	1002	46.8
447	CY066976  	289	254	208	236	0	1002	46.8
448	CY066977  	450	332	264	373	1	1441	42.0
449	CY066978  	503	403	300	317	0	1545	46.2
450	CY066979  	269	203	169	209	0	863	43.8
451	CY066979  	269	203	169	209	0	863	43.8
452	CY066980  	713	532	425	505	0	2207	44.0
453	CY066981  	822	520	442	519	0	2336	41.8
454	CY066982  	772	590	434	497	0	2326	44.7
455	CY067031  	618	384	318	414	0	1759	40.5
456	CY067032  	292	251	208	236	0	1002	46.5
457	CY067032  	292	251	208	236	0	1002	46.5
458	CY067033  	456	329	265	370	0	1441	41.8
459	CY067034  	503	402	300	318	0	1545	46.1
460	CY067035  	270	203	168	209	0	863	43.6
461	CY067035  	270	203	168	209	0	863	43.6
462	CY067036  	715	530	426	504	0	2207	44.0
463	CY067037  	820	520	444	518	1	2336	41.9
464	CY067038  	773	588	433	499	0	2326	44.5
465	CY067039  	622	388	319	414	0	1768	40.6
466	CY067040  	288	255	207	237	0	1002	46.8
467	CY067040  	288	255	207	237	0	1002	46.8
468	CY067041  	454	330	264	372	0	1441	41.8
469	CY067042  	504	401	300	318	0	1545	46.0
470	CY067043  	270	202	169	209	0	863	43.6
471	CY067043  	270	202	169	209	0	863	43.6
472	CY067044  	711	532	428	504	0	2207	44.1
473	CY067045  	816	525	445	517	0	2336	42.1
474	CY067046  	772	589	432	500	0	2326	44.5
475	CY067047  	619	383	319	413	0	1759	40.5
476	CY067048  	289	254	207	237	0	1002	46.7
477	CY067048  	289	254	207	237	0	1002	46.7
478	CY067049  	453	332	263	372	0	1441	41.9
479	CY067050  	501	404	301	317	0	1545	46.3
480	CY067051  	270	202	169	209	0	863	43.6
481	CY067051  	270	202	169	209	0	863	43.6
482	CY067052  	714	530	425	506	0	2207	43.9
483	CY067053  	822	520	442	519	0	2336	41.8
484	CY067054  	773	589	433	498	0	2326	44.6
485	CY067055  	618	383	321	412	0	1759	40.6
486	CY067056  	292	252	208	235	0	1002	46.6
487	CY067056  	292	252	208	235	0	1002	46.6
488	CY067057  	456	328	265	371	0	1441	41.8
489	CY067058  	505	400	302	316	0	1545	46.1
490	CY067059  	269	203	169	209	0	863	43.8
491	CY067059  	269	203	169	209	0	863	43.8
492	CY067060  	712	534	426	503	0	2207	44.1
493	CY067061  	822	519	442	520	0	2336	41.7
494	CY067062  	771	590	432	500	0	2326	44.6
495	CY056947  	608	383	317	412	0	1745	40.7
496	CY056948  	288	251	208	235	0	997	46.7
497	CY056948  	288	251	208	235	0	997	46.7
498	CY056949  	451	331	264	372	0	1439	42.0
499	CY056950  	502	401	301	312	0	1538	46.3
500	CY056951  	265	203	168	208	0	857	44.0
501	CY056951  	265	203	168	208	0	857	44.0
502	CY056952  	709	531	423	500	0	2194	44.1
503	CY056953  	820	519	443	517	0	2332	41.8
504	CY056954  	771	587	433	495	0	2319	44.6
505	GU367315  	627	388	321	413	3	1778	40.5
506	GU367316  	460	332	265	375	1	1454	41.7
507	HM628693  	579	372	342	408	0	1726	42.0
508	HM628694  	580	372	342	407	0	1726	42.0
509	AB124653  	427	344	270	369	0	1431	43.5
510	AB432937  	571	410	303	405	0	1714	42.2
511	D13576    	138	102	63	91	0	400	41.9
512	M57670    	42	32	25	18	0	119	48.7
513	GQ369800  	171	130	85	131	0	525	41.6
514	CY071815  	771	586	432	491	0	2313	44.6
515	CY071817  	704	530	421	496	0	2182	44.2
516	CY071818  	599	376	312	408	0	1720	40.6
517	CY071819  	493	398	293	313	0	1519	46.2
518	CY071820  	451	329	263	367	0	1431	42.0
519	CY071821  	285	254	207	236	0	997	46.9
520	CY071821  	285	254	207	236	0	997	46.9
521	CY071822  	267	202	168	209	0	859	43.7
522	CY071822  	267	202	168	209	0	859	43.7
523	CY071823  	770	587	433	490	0	2313	44.7
524	CY071825  	704	530	421	496	0	2182	44.2
525	CY071826  	601	377	314	409	0	1726	40.6
526	CY071827  	493	398	293	313	0	1519	46.2
527	CY071828  	451	329	263	367	0	1431	42.0
528	CY071829  	286	255	207	234	0	997	47.0
529	CY071829  	286	255	207	234	0	997	47.0
530	CY071830  	267	202	168	209	0	859	43.7
531	CY071830  	267	202	168	209	0	859	43.7
532	CY031308  	354	219	223	244	0	1055	42.5
533	CY031309  	354	220	226	240	0	1055	42.9
534	CY031310  	353	221	224	242	0	1055	42.8
535	CY031311  	353	221	224	242	0	1055	42.8
536	CY031312  	353	221	224	242	0	1055	42.8
537	CY031313  	354	221	225	240	0	1055	42.9
538	CY062377  	601	378	316	406	0	1726	40.8
539	CY062378  	599	379	314	409	0	1726	40.7
540	CY062379  	599	379	314	409	0	1726	40.7
541	CY062380  	599	379	314	409	0	1726	40.7
542	CY062381  	599	379	314	409	0	1726	40.7
543	CY062382  	599	379	314	409	0	1726	40.7
544	CY062383  	599	379	314	409	0	1726	40.7
545	CY062384  	599	379	314	409	0	1726	40.7
546	CY062385  	600	378	313	410	0	1726	40.6
547	CY062386  	600	378	314	409	0	1726	40.7
548	CY062387  	600	378	314	409	0	1726	40.7
549	CY062389  	600	379	313	409	0	1726	40.7
550	CY062390  	599	379	314	409	0	1726	40.7
551	CY062391  	599	379	314	409	0	1726	40.7
552	CY062392  	598	379	313	411	0	1726	40.7
553	CY062393  	599	379	314	409	0	1726	40.7
554	CY062394  	599	379	314	409	0	1726	40.7
555	CY062395  	600	379	316	406	0	1726	40.9
556	CY062396  	601	378	314	408	0	1726	40.7
557	CY062397  	601	378	313	409	0	1726	40.6
558	CY062398  	599	379	314	409	0	1726	40.7
559	CY062399  	599	379	314	409	0	1726	40.7
560	CY062400  	601	378	316	406	0	1726	40.8
